Моделирование погоды - Марковский процесс с непрерывным временем
Дата экспорта: 29.05.2026 03:49:15
Всего дней: 5000
Общее время моделирования: 5000,00 дней
Начальное состояние: Облачно
Seed генератора: 42

=== МАТРИЦА ИНТЕНСИВНОСТЕЙ (ГЕНЕРАТОР Q) ===
Из\В;Ясно;Облачно;Пасмурно;Интенсивность выхода
Ясно;-0,4;0,3;0,1;0,4
Облачно;0,4;-0,8;0,4;0,8
Пасмурно;0,1;0,4;-0,5;0,5

=== СТАЦИОНАРНЫЕ РАСПРЕДЕЛЕНИЯ ===
Состояние;Время (дни);Эмпирическая вероятность;Теоретическая вероятность;Абсолютная ошибка;Относительная ошибка
Ясно;1917,6791;0,383536;0,381000;0,002536;0,006656
Облачно;1470,5211;0,294104;0,301500;0,007396;0,024530
Пасмурно;1611,7999;0,322360;0,317500;0,004860;0,015307

=== ХАРАКТЕРИСТИКИ ВРЕМЕНИ ПРЕБЫВАНИЯ ===
Состояние;Интенсивность λ;Количество переходов;Среднее (эмп);Среднее (теор);Дисперсия (эмп);Дисперсия (теор)
Ясно;0,4;740;2,587568;2,500000;6,335628;6,250000
Облачно;0,8;1154;1,274282;1,250000;1,720535;1,562500
Пасмурно;0,5;802;2,009726;2,000000;4,046947;4,000000

=== ИСТОРИЯ ВЕРОЯТНОСТЕЙ ПО ДНЯМ ===
День-Время;Ясно;Облачно;Пасмурно
[День 0. 00:00];0,333333;0,333333;0,333333
[День 0. 07:51];0,000000;1,000000;0,000000
[День 1. 00:00];0,672727;0,327273;0,000000
[День 1. 15:34];0,801500;0,198500;0,000000
[День 2. 00:00];0,660729;0,339271;0,000000
[День 3. 00:00];0,440486;0,559514;0,000000
[День 3. 07:02];0,401209;0,598791;0,000000
[День 4. 00:00];0,506942;0,493058;0,000000
[День 5. 00:00];0,605554;0,394446;0,000000
[День 6. 00:00];0,671295;0,328705;0,000000
[День 7. 00:00];0,718253;0,281747;0,000000
[День 8. 00:00];0,753471;0,246529;0,000000
[День 9. 00:00];0,780863;0,219137;0,000000
[День 9. 12:11];0,792575;0,207425;0,000000
[День 9. 19:54];0,766658;0,233342;0,000000
[День 10. 00:00];0,770635;0,229365;0,000000
[День 11. 00:00];0,791486;0,208514;0,000000
[День 12. 00:00];0,808863;0,191137;0,000000
[День 13. 00:00];0,823565;0,176435;0,000000
[День 14. 00:00];0,836168;0,163832;0,000000
[День 14. 04:35];0,838376;0,161624;0,000000
[День 15. 00:00];0,793175;0,152910;0,053915
[День 15. 12:53];0,765746;0,147622;0,086632
[День 16. 00:00];0,743602;0,172272;0,084126
[День 17. 00:00];0,699860;0,220962;0,079178
[День 18. 00:00];0,660979;0,264242;0,074779
[День 19. 00:00];0,626191;0,302966;0,070843
[День 19. 19:51];0,600055;0,332059;0,067886
[День 20. 00:00];0,603503;0,329196;0,067301
[День 21. 00:00];0,622384;0,313520;0,064096
[День 22. 00:00];0,639548;0,299269;0,061183
[День 23. 00:00];0,655220;0,286257;0,058523
[День 23. 05:10];0,658420;0,283600;0,057979
[День 24. 00:00];0,636898;0,307018;0,056084
[День 25. 00:00];0,611422;0,334737;0,053841
[День 26. 00:00];0,587906;0,360324;0,051770
[День 27. 00:00];0,566132;0,384016;0,049853
[День 27. 20:10];0,549043;0,402609;0,048348
[День 28. 00:00];0,551614;0,400314;0,048072
[День 29. 00:00];0,567076;0,386510;0,046415
[День 29. 07:30];0,571694;0,382386;0,045919
[День 29. 07:56];0,571341;0,382768;0,045891
[День 29. 21:51];0,579653;0,375345;0,045001
[День 30. 00:00];0,577931;0,374230;0,047839
[День 31. 00:00];0,559288;0,362158;0,078554
[День 31. 13:23];0,549401;0,355756;0,094843
[День 32. 00:00];0,541810;0,364657;0,093533
[День 32. 01:19];0,540874;0,365755;0,093371
[День 33. 00:00];0,554016;0,355286;0,090699
[День 33. 14:18];0,561926;0,348984;0,089090
[День 34. 00:00];0,555248;0,356721;0,088031
[День 35. 00:00];0,539384;0,375100;0,085516
[День 35. 00:50];0,538844;0,375725;0,085430
[День 35. 03:09];0,537359;0,374689;0,087952
[День 35. 23:59];0,548515;0,365654;0,085831
[День 36. 16:44];0,557101;0,358700;0,084199
[День 36. 23:59];0,552552;0,363937;0,083511
[День 37. 16:40];0,542364;0,375664;0,081971
[День 37. 23:59];0,546037;0,372649;0,081313
[День 38. 05:15];0,548640;0,370513;0,080847
[День 38. 23:59];0,537654;0,383117;0,079228
[День 39. 23:59];0,524213;0,398539;0,077248
[День 40. 21:43];0,512610;0,411852;0,075538
[День 40. 23:59];0,513735;0,410901;0,075364
[День 41. 23:59];0,525313;0,401118;0,073569
[День 42. 23:59];0,536352;0,391789;0,071858
[День 43. 02:07];0,537303;0,390986;0,071711
[День 43. 23:59];0,526171;0,382885;0,090944
[День 44. 23:59];0,514478;0,374377;0,111145
[День 45. 23:59];0,503294;0,366238;0,130468
[День 46. 23:59];0,492586;0,358446;0,148969
[День 47. 23:59];0,482324;0,350978;0,166698
[День 48. 08:04];0,478968;0,348536;0,172495
[День 48. 23:59];0,486026;0,343815;0,170159
[День 49. 23:59];0,496305;0,336939;0,166756
[День 50. 04:15];0,498084;0,335749;0,166167
[День 50. 13:04];0,494464;0,340577;0,164959
[День 50. 23:59];0,490048;0,337535;0,172416
[День 51. 11:14];0,485585;0,334461;0,179953
[День 51. 12:18];0,485168;0,335033;0,179799
[День 51. 23:59];0,480624;0,331895;0,187480
[День 52. 23:59];0,471556;0,325633;0,202811
[День 53. 15:09];0,466001;0,321797;0,212202
[День 53. 23:59];0,462824;0,326422;0,210755
[День 54. 23:59];0,454409;0,338669;0,206923
[День 55. 23:59];0,446294;0,350478;0,203228
[День 56. 23:59];0,438464;0,361873;0,199662
[День 57. 04:50];0,436916;0,364127;0,198957
[День 57. 07:03];0,436213;0,363541;0,200247
[День 57. 23:59];0,430905;0,371285;0,197810
[День 58. 01:58];0,430294;0,372176;0,197530
[День 58. 23:59];0,423601;0,366386;0,210012
[День 59. 23:59];0,416541;0,360280;0,223179
[День 60. 23:55];0,409736;0,354394;0,235871
[День 60. 23:59];0,409713;0,354430;0,235858
[День 61. 23:59];0,403104;0,364842;0,232053
[День 62. 23:59];0,396706;0,374924;0,228370
[День 63. 23:59];0,390507;0,384691;0,224802
[День 64. 07:51];0,388519;0,387824;0,223657
[День 65. 00:00];0,384500;0,383811;0,231689
[День 66. 00:00];0,378674;0,377996;0,243330
[День 66. 05:13];0,377428;0,376753;0,245819
[День 67. 00:00];0,373022;0,384029;0,242949
[День 67. 12:11];0,370215;0,388663;0,241121
[День 67. 16:16];0,371798;0,387686;0,240515
[День 67. 17:31];0,371511;0,388160;0,240329
[День 68. 00:00];0,374002;0,386622;0,239377
[День 69. 00:00];0,383074;0,381018;0,235907
[День 69. 01:18];0,383560;0,380719;0,235722
[День 69. 03:36];0,383027;0,381579;0,235394
[День 69. 05:26];0,383705;0,381159;0,235135
[День 70. 00:00];0,379466;0,376948;0,243587
[День 70. 19:36];0,375090;0,372600;0,252310
[День 71. 00:00];0,374121;0,374220;0,251659
[День 71. 13:05];0,371268;0,378993;0,249739
[День 72. 00:00];0,368925;0,376601;0,254474
[День 73. 00:00];0,363871;0,371442;0,264686
[День 73. 01:14];0,363614;0,371180;0,265207
[День 74. 00:00];0,358954;0,379238;0,261808
[День 74. 16:41];0,355613;0,385017;0,259371
[День 75. 00:00];0,358230;0,383453;0,258317
[День 75. 15:16];0,363631;0,380226;0,256143
[День 76. 00:00];0,361893;0,378407;0,259700
[День 76. 15:24];0,358862;0,375238;0,265900
[День 77. 00:00];0,357193;0,378143;0,264664
[День 78. 00:00];0,352613;0,386116;0,261271
[День 78. 03:25];0,351969;0,387237;0,260794
[День 79. 00:00];0,359002;0,383035;0,257964
[День 80. 00:00];0,367014;0,378247;0,254739
[День 80. 07:27];0,369461;0,376784;0,253754
[День 81. 00:00];0,366316;0,373577;0,260107
[День 82. 00:00];0,361849;0,369021;0,269130
[День 83. 00:00];0,357490;0,364575;0,277935
[День 83. 17:22];0,354398;0,361422;0,284180
[День 84. 00:00];0,353234;0,363520;0,283246
[День 85. 00:00];0,349078;0,371008;0,279914
[День 85. 13:04];0,346856;0,375012;0,278132
[День 86. 00:00];0,345019;0,373026;0,281955
[День 86. 22:31];0,341293;0,368997;0,289710
[День 87. 00:00];0,341053;0,369441;0,289506
[День 88. 00:00];0,337178;0,376606;0,286216
[День 89. 00:00];0,333389;0,383611;0,283000
[День 90. 00:00];0,329685;0,390459;0,279856
[День 90. 00:38];0,329586;0,390642;0,279772
[День 91. 00:00];0,336755;0,386465;0,276781
[День 92. 00:00];0,343964;0,382264;0,273772
[День 93. 00:00];0,351018;0,378153;0,270828
[День 94. 00:00];0,357922;0,374131;0,267947
[День 94. 05:59];0,359621;0,373141;0,267238
[День 95. 00:00];0,356779;0,378094;0,265127
[День 95. 04:13];0,356119;0,379244;0,264636
[День 96. 00:00];0,353063;0,375989;0,270948
[День 96. 03:34];0,352516;0,375407;0,272078
[День 97. 00:00];0,349423;0,380886;0,269691
[День 97. 02:07];0,349105;0,381449;0,269446
[День 98. 00:00];0,355161;0,377900;0,266939
[День 98. 00:07];0,355194;0,377881;0,266925
[День 99. 00:00];0,351624;0,384134;0,264242
[День 99. 15:41];0,349317;0,388174;0,262509
[День 100. 00:00];0,351570;0,386830;0,261600
[День 100. 14:55];0,355576;0,384440;0,259984
[День 101. 00:00];0,354243;0,383000;0,262757
[День 101. 18:33];0,351553;0,380091;0,268356
[День 102. 00:00];0,350770;0,381471;0,267759
[День 103. 00:00];0,347365;0,387476;0,265159
[День 104. 00:00];0,344025;0,393366;0,262610
[День 104. 09:40];0,342695;0,395710;0,261595
[День 105. 00:00];0,340748;0,393462;0,265790
[День 105. 06:33];0,339864;0,392441;0,267695
[День 105. 14:06];0,338850;0,394254;0,266896
[День 106. 00:00];0,341419;0,392722;0,265859
[День 107. 00:00];0,347574;0,389052;0,263375
[День 107. 01:39];0,347995;0,388800;0,263205
[День 107. 01:40];0,347993;0,388799;0,263208
[День 108. 00:00];0,353610;0,385449;0,260941
[День 109. 00:00];0,359540;0,381913;0,258547
[День 110. 00:00];0,365363;0,378441;0,256196
[День 111. 00:00];0,371080;0,375032;0,253888
[День 111. 01:37];0,371464;0,374803;0,253733
[День 111. 21:46];0,368678;0,371991;0,259331
[День 112. 00:00];0,368373;0,372511;0,259116
[День 112. 20:45];0,365551;0,377318;0,257131
[День 113. 00:00];0,366311;0,376866;0,256823
[День 114. 00:00];0,371870;0,373560;0,254570
[День 115. 00:00];0,377332;0,370311;0,252357
[День 116. 00:00];0,382700;0,367119;0,250181
[День 117. 00:00];0,387976;0,363981;0,248043
[День 117. 21:35];0,392646;0,361204;0,246150
[День 118. 00:00];0,392311;0,360897;0,246792
[День 118. 11:56];0,390664;0,359381;0,249955
[День 119. 00:00];0,393237;0,357864;0,248899
[День 120. 00:00];0,398293;0,354882;0,246825
[День 120. 01:06];0,398524;0,354745;0,246730
[День 120. 23:52];0,395399;0,351963;0,252638
[День 121. 00:00];0,395383;0,351990;0,252627
[День 121. 15:08];0,393332;0,355351;0,251317
[День 122. 00:00];0,392142;0,354276;0,253582
[День 123. 00:00];0,388954;0,351396;0,259651
[День 123. 08:33];0,387828;0,350379;0,261792
[День 123. 12:02];0,387373;0,351141;0,261485
[День 123. 19:28];0,386404;0,350263;0,263333
[День 124. 00:00];0,385817;0,351250;0,262933
[День 125. 00:00];0,382730;0,356440;0,260830
[День 125. 09:30];0,381521;0,358473;0,260006
[День 126. 00:00];0,384485;0,356755;0,258760
[День 126. 07:40];0,386044;0,355852;0,258104
[День 126. 21:06];0,384342;0,358692;0,256966
[День 127. 00:00];0,384926;0,358351;0,256722
[День 128. 00:00];0,389732;0,355552;0,254717
[День 128. 11:25];0,391992;0,354235;0,253773
[День 128. 20:50];0,390799;0,356200;0,253001
[День 129. 00:00];0,390400;0,355836;0,253764
[День 130. 00:00];0,387397;0,353099;0,259504
[День 130. 19:07];0,385036;0,350948;0,264016
[День 131. 00:00];0,384439;0,351954;0,263606
[День 131. 06:42];0,383621;0,353334;0,263045
[День 132. 00:00];0,381527;0,351406;0,267067
[День 133. 00:00];0,378658;0,348764;0,272578
[День 133. 08:29];0,377653;0,347838;0,274509
[День 134. 00:00];0,375833;0,350982;0,273185
[День 134. 17:55];0,373750;0,354579;0,271671
[День 135. 00:00];0,373049;0,353914;0,273037
[День 136. 00:00];0,370306;0,351312;0,278382
[День 137. 00:00];0,367603;0,348748;0,283650
[День 137. 23:59];0,364940;0,346221;0,288839
[День 138. 00:00];0,364939;0,346223;0,288838
[День 138. 01:16];0,364799;0,346474;0,288727
[День 139. 00:00];0,369126;0,344114;0,286760
[День 140. 00:00];0,373632;0,341656;0,284712
[День 140. 21:35];0,377631;0,339474;0,282894
[День 141. 00:00];0,377362;0,339945;0,282693
[День 142. 00:00];0,374705;0,344593;0,280702
[День 143. 00:00];0,372085;0,349176;0,278739
[День 143. 06:21];0,371396;0,350381;0,278223
[День 143. 21:57];0,374232;0,348800;0,276967
[День 144. 00:00];0,374011;0,349186;0,276803
[День 144. 09:41];0,372966;0,351004;0,276030
[День 145. 00:00];0,375545;0,349560;0,274894
[День 145. 06:34];0,376723;0,348901;0,274376
[День 145. 09:03];0,376456;0,349363;0,274181
[День 146. 00:00];0,379116;0,347872;0,273011
[День 147. 00:00];0,383340;0,345506;0,271154
[День 147. 16:53];0,386278;0,343860;0,269862
[День 148. 00:00];0,385504;0,345174;0,269322
[День 148. 13:02];0,384093;0,347570;0,268336
[День 149. 00:00];0,382917;0,346506;0,270578
[День 150. 00:00];0,380364;0,344196;0,275440
[День 151. 00:00];0,377845;0,341916;0,280239
[День 151. 07:09];0,377100;0,341242;0,281658
[День 152. 00:00];0,375359;0,344283;0,280358
[День 153. 00:00];0,372906;0,348569;0,278526
[День 153. 11:38];0,371728;0,350626;0,277646
[День 154. 00:00];0,373829;0,349454;0,276717
